mall_id,name,region,operator,lat,lon,A_dining_count,A_dining_score,B_fitness_count,B_fitness_score,C_engagement_count,C_engagement_score,D_healthcare_count,D_healthcare_score,E_infra_count,E_infra_score,F_partnership_score,pop_catchment,senior_pop_catchment,reach_population_score,mrt_count,bus_count,accessibility_score,engagement_gap_score
52,Downtown East,East,Unknown,1.379127178780095,103.9554447581442,20,9.66183574879227,0,0.0,0,0.0,1,5.88235294117647,202,42.436974789915965,20.0,39860.0,3620.0,16.702065369186307,2,2,1.36986301369863,100.0
53,Eastpoint Mall,East,Unknown,1.342705923555769,103.9530246182335,33,15.942028985507244,0,0.0,1,50.0,7,41.17647058823529,14,2.941176470588235,0.0,39450.0,5900.0,18.7427777651031,6,12,30.4253785147801,50.0
54,Jewel Changi Airport,East,Unknown,1.360341006610217,103.9890775502096,24,11.594202898550725,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1.36986301369863,100.0
55,Katong Shopping Centre,Central,Unknown,1.304097311509515,103.9015159169702,17,8.212560386473431,0,0.0,1,50.0,2,11.76470588235294,4,0.8403361344537815,0.0,66160.0,13400.0,34.77968211816869,9,11,29.848594087959622,50.0
56,Kallang Wave Mall,Central,Unknown,1.30307515150401,103.8731497075906,7,3.3816425120772946,1,14.285714285714285,0,0.0,0,0.0,0,0.0,0.0,20410.0,4400.0,10.983486142057039,10,2,6.8493150684931505,100.0
57,Leisure Park Kallang,Central,Unknown,1.302301084052293,103.8764739758827,11,5.314009661835748,0,0.0,0,0.0,0,0.0,1,0.21008403361344538,0.0,12030.0,1780.0,5.697180818427036,9,4,11.427541456380677,100.0
59,Our Tampines Hub,East,Unknown,1.35354740485205,103.9403811045466,19,9.178743961352657,3,42.857142857142854,2,100.0,3,17.647058823529413,0,0.0,0.0,79670.0,11220.0,37.18764280727275,9,8,21.953857245854362,0.0
60,Parkway Parade,Central,Unknown,1.301069755063101,103.9052794915233,24,11.594202898550725,3,42.857142857142854,0,0.0,5,29.411764705882355,355,74.57983193277312,0.0,36240.0,7490.0,19.194220761629722,11,3,10.165825522710886,100.0
61,SingPost,Central,Unknown,1.318996669036639,103.8948949159614,14,6.763285024154589,0,0.0,1,50.0,1,5.88235294117647,5,1.050420168067227,0.0,29920.0,5910.0,15.585461356538968,14,8,25.378514780100936,50.0
62,Tampines 1,East,ARMF II (Tampines) Pte Ltd,1.352227945045802,103.9524374430853,10,4.830917874396135,0,0.0,1,50.0,7,41.17647058823529,4,0.8403361344537815,0.0,130980.0,20200.0,62.81235719272725,12,11,31.90338860850757,50.0
63,Tampines Mall,East,CapitaMall Trust,1.352527372785196,103.9446987510717,128,61.83574879227053,1,14.285714285714285,0,0.0,14,82.35294117647058,12,2.5210084033613445,80.0,210650.0,31420.0,100.0,10,12,33.16510454217736,100.0
64,White Sands,East,Unknown,1.365636109416956,103.9608618146777,31,14.975845410628018,0,0.0,2,100.0,2,11.76470588235294,3,0.6302521008403361,0.0,69100.0,8710.0,31.27861867944435,1,13,29.632299927901947,0.0
65,Pasir Ris Mall,East,Unknown,1.373824377794677,103.9487488736156,82,39.61352657004831,0,0.0,1,50.0,8,47.05882352941176,402,84.45378151260505,0.0,138110.0,14780.0,60.00664246928703,2,14,32.94881038211968,50.0
66,AMK Hub,North-East,Mercatus Co-operative Ltd,1.369389226903445,103.8484779659393,32,15.458937198067632,1,14.285714285714285,1,50.0,4,23.52941176470588,48,10.084033613445378,0.0,119100.0,26960.0,65.31906410139995,4,12,29.05551550108147,50.0
67,Canberra Plaza,North,Housing & Development Board,1.443352663745675,103.8309390452592,8,3.864734299516908,0,0.0,1,50.0,2,11.76470588235294,5,1.050420168067227,0.0,108340.0,14730.0,50.06618914538567,5,8,19.2141312184571,50.0
68,Causeway Point,North,Frasers Centrepoint,1.436070065080311,103.7859815242531,51,24.637681159420293,1,14.285714285714285,2,100.0,6,35.294117647058826,33,6.932773109243698,26.666666666666664,143980.0,15220.0,62.377386051449065,7,10,25.84715212689257,0.0
