mall_id,name,region,operator,lat,lon,postal_code,address
134,Seletar Mall,Unknown,Unknown,1.391470153746278,103.876125507257,797653,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653
135,Serene Centre,Unknown,Unknown,1.3225246443153,103.8137065295714,258748,10 JALAN SERENE SERENE CENTRE SINGAPORE 258748
136,Sim Lim Tower,Unknown,Unknown,1.303772221222989,103.8546614469195,208787,10 JALAN BESAR SIM LIM TOWER SINGAPORE 208787
137,South Beach (Singapore),Unknown,Unknown,1.294687017424851,103.8555287380588,189763,30 BEACH ROAD JW MARRIOTT SINGAPORE SOUTH BEACH SINGAPORE 189763
141,Tangs,Unknown,Unknown,1.431165470348873,103.7938225924639,,548 WOODLANDS DRIVE 44 CC TANG DENTAL SURGERY PTE LTD VISTA POINT
146,Ang Mo Kio Town Centre,Unknown,Unknown,1.374483624196232,103.8824421961307,,662 HOUGANG AVENUE 4 ANG MO KIO TOWN COUNCIL (ANG MO KIO-HOUGANG SERVICE CENTRE)
147,Cheng San Centre,Unknown,Unknown,1.373808515395587,103.8545941606006,560532,532 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560532
148,Chong Boon Centre,Unknown,Unknown,1.367858882609412,103.8560470079234,560449,449 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560449
149,Kebun Baru Mall,Unknown,Unknown,1.366825902336275,103.8398610741315,567226,226G ANG MO KIO AVENUE 1 KEBUN BARU MALL SINGAPORE 567226
150,Teck Ghee Square,Unknown,Unknown,1.361913471952152,103.8552476669003,560407,407 ANG MO KIO AVENUE 10 TECK GHEE SQUARE SINGAPORE 560407
151,Bedok Town Centre,Unknown,Unknown,1.326359095206174,103.9299959190762,460204,204 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460204
153,Bishan North Shopping Mall,Unknown,Unknown,1.358144323794578,103.844756001146,570282,282 BISHAN STREET 22 BISHAN NORTH SHOPPING MALL SINGAPORE 570282
157,Gombak Place,Unknown,Unknown,1.348172638424996,103.7588930854489,650271,271 BUKIT BATOK EAST AVENUE 4 GOMBAK PLACE SINGAPORE 650271
162,Greenridge Shopping Centre,Unknown,Unknown,1.385175715644299,103.7659151920734,,524A JELAPANG ROAD ABOUND LEARNING CENTRE GREENRIDGE SHOPPING CENTRE
164,Keat Hong Shopping Centre,Unknown,Unknown,1.377366074413961,103.7443936487673,680253,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253
165,Limbang Shopping Centre,Unknown,Unknown,1.392460492417345,103.7427781303518,,533 CHOA CHU KANG STREET 51 BEARFOOT LIMBANG SHOPPING CENTRE
166,Sunshine Place,Unknown,Unknown,1.378069616434087,103.738943225389,,475 CHOA CHU KANG AVENUE 3 EVERCARE MEDICAL CLINIC SUNSHINE PLACE
167,Teck Whye Shopping Centre,Unknown,Unknown,1.380047529753983,103.7524838411989,680137,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137
168,Yew Tee Square,Unknown,Unknown,1.398191971113012,103.7473149082766,,623 CHOA CHU KANG STREET 62 7 ELEVEN YEW TEE SQUARE
169,Clementi Town Centre,Unknown,Unknown,1.313355620136862,103.7649456076377,,CLEMENTI TOWN CENTRE
170,Geylang East Central,Unknown,Unknown,1.318939065551238,103.886798789505,,GEYLANG EAST CENTRAL
172,Joo Chiat Complex,Unknown,Unknown,1.315845000007331,103.8991760000613,,1 JOO CHIAT ROAD BUDGET HOME JOO CHIAT COMPLEX
173,Central Place,Unknown,Unknown,1.336124083305454,103.9646510003614,,7 CHANGI BUSINESS PARK CENTRAL 1 SEA KING SEAFOOD TRADING IBM PLACE
174,Hougang Town Centre,Unknown,Unknown,1.357545633590632,103.8732521755758,,216 SERANGOON AVENUE 4 ALJUNIED-HOUGANG TOWN COUNCIL (COLLECTION SERVICE CENTRE)
175,Hougang Green Shopping Mall,Unknown,Unknown,1.379245290701614,103.8878320171013,538719,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719
176,Kovan City,Unknown,Unknown,1.359622892256192,103.8877173328647,530211,211 HOUGANG STREET 21 KOVAN CITY SINGAPORE 530211
177,Bendemeer Shopping Mall,Unknown,Unknown,1.318682622667645,103.8627028939189,,25 BENDEMEER ROAD BENDEMEER SHOPPING MALL
181,Yuhua Place,Unknown,Unknown,1.346051640166172,103.7314200154205,600342,342 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600342
182,Yuhua Village,Unknown,Unknown,1.343026442630589,103.7381452861995,600252,252 JURONG EAST STREET 24 YUHUA VILLAGE SINGAPORE 600252
183,Boon Lay Shopping Centre,Unknown,Unknown,1.346335524573169,103.7124303734547,640221,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221
184,Jurong West Town Centre,Unknown,Unknown,1.348727741380813,103.719077108635,,509 JURONG WEST STREET 51 JURONG-CLEMENTI TOWN COUNCIL (JURONG SPRING COLLECTION & SERVICE CENTRE)
186,Balestier Hill Shopping Centre,Unknown,Unknown,1.325896202188377,103.8429354800027,320002,2 BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 320002
187,Elias Mall,Unknown,Unknown,1.377905330954687,103.9423358206795,,623 ELIAS ROAD AMAR KIDZ @ ELIAS MALL PTE. LTD.
188,Loyang Point,Unknown,Unknown,1.367000540763361,103.9646177762902,,259 PASIR RIS STREET 21 ADVANCED DENTAL LOYANG POINT
190,Pasir Ris West Plaza,Unknown,Unknown,1.379767524583477,103.9366463923326,,735 PASIR RIS STREET 72 7 ELEVEN PASIR RIS WEST PLAZA
191,Pasir Ris Neighbourhood 4 Centre,Unknown,Unknown,1.368356310971952,103.9595970080893,,1 PASIR RIS DRIVE 4 NEIGHBOURHOOD POLICE CENTRE PASIR RIS
194,Fernvale Point,Unknown,Unknown,1.396315518423384,103.8811673248214,,472C FERNVALE STREET GREENLAND CHILDCARE @ FERNVALE PTE LTD
195,Holland Village,Unknown,Unknown,1.310213107939612,103.795010190754,277732,19 LORONG LIPUT HOLLAND VILLAGE SINGAPORE 277732
196,Mei Ling Heights,Unknown,Unknown,1.29339372009263,103.8032078198613,,MEI LING HEIGHTS
198,Tanglin Halt Centre,Unknown,Unknown,1.299692875907111,103.7980644301606,,17A TANGLIN HALT ROAD TANGLIN HALT HAWKER CENTRE AND MARKET
199,Sembawang Town Centre,Unknown,Unknown,1.439777014762418,103.8005734598214,,676 WOODLANDS DRIVE 71 SEMBAWANG TOWN COUNCIL (KAMPUNG ADMIRALTY COLLECTION CENTRE)
200,Rivervale Plaza,Unknown,Unknown,1.385371516087007,103.9018496347969,,118 RIVERVALE DRIVE BEIJING LANGUAGE SCHOOL RIVERVALE PLAZA
201,Rivervale Mall,Unknown,Unknown,1.392197778384503,103.9044716000245,545082,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082
204,Serangoon Town Centre,Unknown,Unknown,1.357545633590632,103.8732521755758,,216 SERANGOON AVENUE 4 ALJUNIED-HOUGANG TOWN COUNCIL (COLLECTION SERVICE CENTRE)
205,Tampines Mart,Unknown,Unknown,1.354364937990946,103.9600421882809,529287,11 TAMPINES STREET 32 TAMPINES MART SINGAPORE 529287
207,ERA APAC Centre,Unknown,Eng Wah Organisation (former),1.331676533749419,103.8493839451847,319394,450 LORONG 6 TOA PAYOH ERA APAC CENTRE SINGAPORE 319394
209,888 Plaza,Unknown,Unknown,1.437704749703643,103.795268998896,,888 WOODLANDS DRIVE 50 888 EATING HOUSE 888 PLAZA
210,Admiralty Place,Unknown,Unknown,1.440275365386474,103.8012901083348,,678A WOODLANDS AVENUE 6 ACER ACADEMY ADMIRALTY PLACE
211,Vista Point,Unknown,Unknown,1.431305886108347,103.7940734725368,,548 WOODLANDS DRIVE 44 A-STAR BOOK STORE VISTA POINT
212,Woodlands Mart,Unknown,Unknown,1.445716026032443,103.7985954754904,,768 WOODLANDS AVE 6 33 CONVENIENCE MART WOODLANDS MART
213,Woodlands North Plaza,Unknown,Unknown,1.442509261327166,103.7906018262636,,883 WOODLANDS STREET 82 7 ELEVEN WOODLANDS NORTH PLAZA
214,Woodlands Regional Centre,Unknown,Unknown,1.451934552427674,103.802904054254,738320,7 WOODLANDS WALK KSB REGIONAL CENTER SINGAPORE 738320
215,Chong Pang City,Unknown,Unknown,1.430832994617558,103.829006127711,768677,21 YISHUN RING ROAD CHONG PANG CITY SINGAPORE 768677
216,Nee Soon East Courtyard,Unknown,Unknown,1.436288972926408,103.8370270366671,,NEE SOON EAST COURTYARD
217,Albert Centre,Unknown,Unknown,1.301102015734238,103.8541157790862,180270,270 QUEEN STREET ALBERT CENTRE SINGAPORE 180270
218,Bras Basah Complex,Unknown,Unknown,1.296815259288559,103.8536194822053,180231,231 BAIN STREET BRAS BASAH COMPLEX SINGAPORE 180231
219,Changi Village,Unknown,Unknown,1.388705940647076,103.9879801853468,,CHANGI VILLAGE
220,Cheng Yan Court,Unknown,Unknown,1.30035670883377,103.8534663603071,182269,269B QUEEN STREET CHENG YAN COURT SINGAPORE 182269
221,Chinatown Complex,Unknown,Unknown,1.28227496052711,103.8432385180712,050335,335 SMITH STREET CHINATOWN COMPLEX SINGAPORE 050335
222,Crawford Centre,Unknown,Unknown,1.304802505395983,103.8621555590924,190464,464 CRAWFORD LANE CRAWFORD CENTRE SINGAPORE 190464
223,Hong Lim Complex,Unknown,Unknown,1.284392382174826,103.8461014719971,050531,531 UPPER CROSS STREET HONG LIM COMPLEX SINGAPORE 050531
224,Kitchener Complex,Unknown,Unknown,1.308810282348931,103.8619069738904,,808 FRENCH ROAD ARTSENI KITCHENER COMPLEX
225,Potong Pasir,Unknown,Unknown,1.335740847343736,103.8656655961177,,121 POTONG PASIR AVENUE 1 JALAN BESAR TOWN COUNCIL (POTONG PASIR OFFICE)
226,Rochor Centre,Unknown,Unknown,1.307619414430839,103.8542189067751,,11 KAMPONG KAPOR ROAD NEIGHBOURHOOD POLICE CENTRE ROCHOR
227,Tanjong Pagar Plaza,Unknown,Unknown,1.275154977226049,103.8423931632715,082001,1 TANJONG PAGAR PLAZA TANJONG PAGAR PLAZA SINGAPORE 082001
228,Upper Aljunied,Unknown,Unknown,1.332235278449508,103.8790511574748,367859,373 UPPER ALJUNIED ROAD ESSO UPPER ALJUNIED SINGAPORE 367859
229,Waterloo Centre,Unknown,Unknown,1.298694452515225,103.8520820134851,180261,261 WATERLOO STREET WATERLOO CENTRE SINGAPORE 180261
230,Zhujiao Centre,Unknown,Unknown,1.306247229149706,103.8499560339021,210662,662 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210662
